City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pevek,100,RU,1580085694,92,69.7,170.31,-3.21,3.27
atuona,3,PF,1580085694,71,-9.8,-139.03,81.14,11.27
codrington,100,AU,1580085694,78,-38.27,141.97,59.45,8.1
upernavik,99,GL,1580085694,96,72.79,-56.15,-16.28,3.85
astana,90,KZ,1580085700,92,51.18,71.45,26.6,35.79
west wendover,90,US,1580085701,86,40.74,-114.07,39.2,8.05
kapaa,90,US,1580085620,74,22.08,-159.32,80.6,9.17
melville,90,US,1580085702,52,40.79,-73.42,45.0,9.17
alofi,50,NU,1580085482,83,-19.06,-169.92,84.2,8.05
pangkalanbuun,98,ID,1580085702,94,-2.68,111.62,77.07,1.77
cape town,40,ZA,1580085702,87,-33.93,18.42,62.01,6.93
kamenka,93,RU,1580085702,84,51.32,42.77,32.0,15.14
east london,24,ZA,1580085703,66,-33.02,27.91,65.28,22.59
esmeraldas,40,BR,1580085421,83,-19.76,-44.31,75.2,5.82
batavia,90,US,1580085703,92,41.85,-88.31,30.2,5.82
luderitz,18,NA,1580085703,55,-26.65,15.16,66.2,17.22
derzhavinsk,99,KZ,1580085704,91,51.1,66.32,23.88,24.52
klaksvik,42,FO,1580085704,58,62.23,-6.59,35.6,10.29
katsuura,75,JP,1580085704,60,35.13,140.3,44.01,9.17
mackay,75,AU,1580085704,83,-21.15,149.2,80.6,9.17
thinadhoo,100,MV,1580085466,76,0.53,72.93,81.55,7.83
kodiak,90,US,1580085704,61,57.79,-152.41,17.6,9.17
norman wells,86,CA,1580085706,93,65.28,-126.83,-19.53,3.94
dongsheng,100,CN,1580085706,95,39.82,109.98,19.72,1.25
puerto leguizamo,100,CO,1580085706,81,-0.19,-74.78,78.53,3.29
marathon,90,US,1580085706,86,44.9,-89.77,28.99,4.92
mahibadhoo,100,MV,1580085707,77,3.78,72.97,80.47,7.2
ornskoldsvik,100,SE,1580085707,92,63.29,18.72,26.6,6.93
bardiyah,100,LY,1580085708,58,31.76,25.09,56.84,10.16
necochea,48,AR,1580085708,58,-38.55,-58.74,61.0,15.01
san quintin,55,MX,1580085708,82,30.48,-115.95,57.97,11.72
narsaq,100,GL,1580085708,72,60.92,-46.05,10.4,2.24
rawson,0,AR,1580085708,56,-43.3,-65.1,60.31,9.86
amapa,100,BR,1580085709,99,1.0,-52.0,73.72,2.95
turukhansk,99,RU,1580085709,94,65.82,87.98,2.26,7.58
mount gambier,40,AU,1580085709,52,-37.83,140.77,68.0,9.17
rocha,33,UY,1580085494,96,-34.48,-54.33,66.2,2.51
crotone,47,IT,1580085709,63,39.09,17.12,53.15,9.53
mar del plata,40,AR,1580085710,68,-38.0,-57.56,64.4,20.8
port-de-bouc,39,FR,1580085711,100,43.4,4.98,41.0,2.24
port elizabeth,27,ZA,1580085711,77,-33.92,25.57,60.8,17.22
ville-marie,90,CA,1580085711,92,47.33,-79.43,30.2,14.99
vila velha,40,BR,1580085662,88,-20.33,-40.29,75.2,0.78
la ronge,100,CA,1580085711,96,55.1,-105.28,26.82,3.65
kindu,63,CD,1580085711,71,-2.95,25.95,70.16,0.94
jonesboro,90,US,1580085712,81,35.84,-90.7,53.6,8.05
avarua,98,CK,1580085712,94,-21.21,-159.78,77.0,4.7
walvis bay,3,NA,1580085712,87,-22.96,14.51,62.01,1.12
rio gallegos,69,AR,1580085712,41,-51.62,-69.22,57.2,13.87
salinopolis,100,BR,1580085713,78,-0.61,-47.36,83.03,11.88
coquimbo,40,CL,1580085713,88,-29.95,-71.34,77.0,9.17
rio negrinho,74,BR,1580085713,79,-26.25,-49.52,77.0,5.99
thompson,79,CA,1580085713,96,55.74,-97.86,-0.09,2.26
bengkulu,85,ID,1580085451,86,-3.8,102.27,74.95,2.77
palmer,90,US,1580085714,69,42.16,-72.33,39.0,3.36
castro,1,BR,1580085714,79,-24.79,-50.01,66.34,3.62
porto novo,20,BJ,1580085714,78,6.5,2.6,75.2,4.7
avera,90,US,1580085714,50,33.19,-82.53,55.4,3.36
samagaltay,77,RU,1580085715,74,50.6,95.0,-2.52,2.86
saint-augustin,100,CA,1580085715,96,51.23,-58.65,25.02,3.85
kruisfontein,38,ZA,1580085715,85,-34.0,24.73,55.56,10.16
chicama,75,PE,1580085715,83,-7.84,-79.15,73.4,10.29
soyo,98,AO,1580085715,79,-6.13,12.37,81.05,5.64
ponta delgada,20,PT,1580085716,88,37.73,-25.67,62.6,16.11
oussouye,95,SN,1580085716,53,12.48,-16.55,78.8,6.93
tura,26,IN,1580085717,77,25.52,90.22,53.58,1.63
shache,59,CN,1580085717,69,38.42,77.24,21.27,1.03
san cristobal,40,VE,1580085717,78,7.77,-72.22,77.0,2.24
kahului,20,US,1580085717,48,20.89,-156.47,84.2,14.99
ust-barguzin,45,RU,1580085717,81,53.45,108.98,4.93,2.08
nieuwpoort,100,BE,1580085717,93,51.12,2.77,46.99,16.11
nanortalik,99,GL,1580085718,73,60.14,-45.24,23.04,18.59
marshfield,90,US,1580085718,100,44.67,-90.17,28.99,3.36
garoua,6,CM,1580085718,14,9.3,13.4,68.85,3.83
meadow lake,1,US,1580085718,27,34.8,-106.54,54.0,3.33
yellowknife,75,CA,1580085627,84,62.46,-114.35,5.0,8.05
dikson,99,RU,1580085719,98,73.51,80.55,-7.44,3.06
hermanus,64,ZA,1580085719,94,-34.42,19.23,60.01,9.44
asau,29,RO,1580085719,80,46.43,26.4,30.99,4.7
saldanha,11,ZA,1580085720,82,-33.01,17.94,57.2,8.05
liwale,69,TZ,1580085721,98,-9.77,37.93,69.98,4.23
ejby,98,DK,1580085721,93,55.49,12.08,39.2,6.93
yar-sale,87,RU,1580085721,100,66.83,70.83,-12.91,4.14
praia da vitoria,75,PT,1580085722,82,38.73,-27.07,62.6,23.24
lavrentiya,0,RU,1580085722,86,65.58,-171.0,-14.84,1.14
tuktoyaktuk,96,CA,1580085722,95,69.45,-133.04,-19.8,5.7
chokwe,0,MZ,1580085722,65,-24.53,32.98,79.61,8.19
komsomolskiy,75,UZ,1580085723,81,40.43,71.72,35.6,4.7
beira,0,MZ,1580085723,83,-19.84,34.84,80.02,14.05
murray bridge,16,AU,1580085723,64,-35.12,139.27,77.0,5.01
barrow,1,US,1580085723,74,71.29,-156.79,-23.8,9.17
roald,100,NO,1580085434,65,62.58,6.13,48.0,10.29
opuwo,98,NA,1580085723,55,-18.06,13.84,76.42,5.01
ust-omchug,100,RU,1580085443,97,61.15,149.63,-16.74,7.07
dali,0,CN,1580085723,70,25.7,100.18,27.79,2.24
pangnirtung,100,CA,1580085474,98,66.15,-65.71,-38.25,1.32
georgetown,20,MY,1580085724,100,5.41,100.34,77.0,3.36
kholtoson,82,RU,1580085724,82,50.3,103.31,-1.97,1.97
sitka,90,US,1580085724,75,57.05,-135.33,44.6,12.75
arman,89,RU,1580085724,93,59.7,150.17,4.53,14.43
hasaki,75,JP,1580085545,61,35.73,140.83,41.0,5.82
santa cruz,24,BO,1580085724,74,-17.8,-63.17,84.2,5.82
esperance,0,AU,1580085724,94,-33.87,121.9,71.6,6.93
kamina,100,CD,1580085724,95,-8.74,24.99,66.97,3.98
tuatapere,56,NZ,1580085725,63,-46.13,167.68,68.0,11.01
kyenjojo,99,UG,1580085725,47,0.63,30.62,66.76,1.57
hienghene,18,NC,1580085725,79,-20.68,164.93,79.2,16.49
mozarlandia,70,BR,1580085554,92,-14.74,-50.57,75.58,6.42
pachino,100,IT,1580085726,87,36.72,15.09,53.01,2.24
port alfred,15,ZA,1580085726,79,-33.59,26.89,62.01,5.99
saint george,90,US,1580085726,37,37.1,-113.58,57.99,10.29
havre,75,FR,1580085726,93,49.58,0.33,48.99,13.87
tres arroyos,33,AR,1580085727,64,-38.37,-60.28,58.66,10.89
severo-kurilsk,100,RU,1580085727,90,50.68,156.12,21.02,10.25
bandarbeyla,34,SO,1580085728,78,9.49,50.81,79.02,24.52
pontes e lacerda,92,BR,1580085493,75,-15.23,-59.34,78.22,3.33
ewa beach,40,US,1580085728,45,21.32,-158.01,84.2,14.99
grindavik,40,IS,1580085729,63,63.84,-22.43,33.8,14.99
bilma,68,NE,1580085730,13,18.69,12.92,61.61,7.61
camacha,20,PT,1580085730,72,33.08,-16.33,60.8,2.24
wenling,31,CN,1580085730,82,28.37,121.36,48.0,1.99
morros,100,BR,1580085730,83,-9.45,-46.3,76.64,5.3
baghdad,0,IQ,1580085667,81,33.34,44.4,42.8,4.7
ilulissat,72,GL,1580085730,65,69.22,-51.1,3.2,2.24
husavik,100,IS,1580085731,74,66.04,-17.34,28.4,26.4
camacari,75,BR,1580085731,78,-12.7,-38.32,77.0,9.17
mayo,90,US,1580085480,60,38.89,-76.51,45.0,8.05
shenjiamen,100,CN,1580085731,87,29.96,122.3,49.55,31.65
orange,1,US,1580085732,76,33.7,-117.77,60.01,10.29
garowe,7,SO,1580085732,64,8.41,48.48,74.95,11.32
saint-philippe,75,RE,1580085732,78,-21.36,55.77,73.4,6.93
guerrero negro,1,MX,1580085732,73,27.98,-114.06,63.9,13.67
keetmanshoop,0,NA,1580085732,45,-26.58,18.13,62.6,4.7
college,90,US,1580085614,68,64.86,-147.8,-11.2,3.51
acapulco,20,MX,1580085567,69,16.86,-99.89,82.4,9.17
mangrol,0,IN,1580085734,67,21.12,70.12,70.52,9.13
yatou,100,CN,1580085734,85,37.15,122.38,42.8,14.52
itarema,100,BR,1580085734,91,-2.92,-39.92,77.77,3.24
puerto el triunfo,20,SV,1580085735,78,13.28,-88.55,80.6,4.7
port lincoln,91,AU,1580085735,69,-34.73,135.87,65.84,8.93
gorontalo,59,ID,1580085735,85,0.54,123.06,80.33,2.21
encruzilhada,100,BR,1580085735,97,-15.53,-40.91,67.03,4.36
shiyan,21,CN,1580085735,91,32.65,110.78,29.66,1.1
constitucion,59,CL,1580085735,76,-35.33,-72.42,61.9,9.48
nishihara,75,JP,1580085736,77,26.18,127.76,69.8,26.4
lakatoro,70,VU,1580085738,75,-16.1,167.42,86.0,5.82
talnakh,100,RU,1580085738,77,69.49,88.4,-0.4,11.18
clyde river,1,CA,1580085738,67,70.47,-68.59,-22.0,8.05
novovasylivka,0,UA,1580085738,87,46.83,35.75,31.19,2.15
ugoofaaru,100,MV,1580085739,75,5.67,73.0,80.71,7.09
vao,100,NC,1580085479,83,-22.67,167.48,78.04,14.67
hami,94,CN,1580085739,74,42.8,93.45,8.6,1.81
jutai,71,BR,1580085739,70,-5.18,-68.9,80.96,0.65
russell,90,US,1580085739,66,32.35,-85.2,51.8,1.88
saskylakh,98,RU,1580085740,97,71.92,114.08,-20.96,7.74
anadyr,75,RU,1580085740,78,64.75,177.48,14.0,22.37
axim,57,GH,1580085740,82,4.87,-2.24,76.05,0.54
fortuna,90,US,1580085740,66,40.6,-124.16,57.0,10.29
gat,5,IL,1580085741,87,31.61,34.76,46.99,3.36
wamba,0,NG,1580085741,19,8.93,8.6,67.95,4.9
diego de almagro,28,CL,1580085741,59,-26.37,-70.05,70.07,4.79
belyy yar,35,RU,1580085447,84,53.6,91.39,-0.4,2.24
kijang,90,KR,1580085493,76,35.24,129.21,48.2,23.04
iqaluit,93,CA,1580085742,67,63.75,-68.51,-25.01,8.99
sheridan,1,US,1580085582,48,44.83,-106.92,42.8,3.36
rorvik,100,NO,1580085742,83,64.86,11.24,30.99,4.0
bagdarin,76,RU,1580085742,75,54.43,113.6,2.07,3.0
washougal,75,US,1580085743,62,45.58,-122.35,54.0,10.29
jishou,46,CN,1580085743,86,28.32,109.72,30.97,2.42
ziro,3,IN,1580085743,71,27.63,93.83,39.2,3.33
acajutla,13,SV,1580085743,74,13.59,-89.83,81.21,10.09
raudeberg,100,NO,1580085744,87,61.99,5.14,48.0,20.8
padang,98,ID,1580085626,95,-0.95,100.35,69.12,3.18
qasigiannguit,72,GL,1580085744,65,68.82,-51.19,3.2,2.24
gujrat,0,PK,1580085744,87,32.57,74.08,44.6,3.47
quarai,83,BR,1580085744,29,-30.39,-56.45,83.3,7.0
hadrut,12,AZ,1580085745,45,39.52,47.03,33.35,3.15
phan thiet,35,VN,1580085745,86,10.93,108.1,71.08,2.46
isangel,75,VU,1580085745,66,-19.55,169.27,87.8,9.17
atasu,100,KZ,1580085665,92,48.68,71.64,22.69,27.54
broome,90,US,1580085746,89,42.25,-75.83,37.0,9.17
inhambane,17,MZ,1580085746,79,-23.86,35.38,79.81,13.51
kavaratti,52,IN,1580085747,67,10.57,72.64,80.31,4.41
fort nelson,100,CA,1580085747,96,58.81,-122.7,-5.03,4.88
swan hill,0,AU,1580085747,47,-35.34,143.55,82.99,3.0
samarai,96,PG,1580085747,57,-10.62,150.67,88.18,4.21
sonkovo,83,RU,1580085747,91,57.78,37.16,24.35,10.87
namie,75,JP,1580085748,69,37.48,141.0,39.99,4.7
bereda,40,ES,1580085748,87,43.27,-7.54,54.0,13.87
cayenne,75,GF,1580085715,94,4.93,-52.33,75.2,4.7
keningau,75,MY,1580085748,79,5.34,116.16,84.2,3.36
shingu,75,JP,1580085748,87,33.73,135.98,48.2,5.82
norfolk,8,US,1580085475,69,42.17,-71.25,39.99,14.99
antalaha,77,MG,1580085748,75,-14.9,50.28,79.12,18.86
hithadhoo,100,MV,1580085748,79,-0.6,73.08,81.0,5.73
goderich,100,CA,1580085547,90,43.75,-81.72,34.0,1.01
aurora,1,US,1580085023,28,39.73,-104.83,51.8,0.74
deputatskiy,84,RU,1580085749,83,69.3,139.9,-30.95,2.82
arkhara,57,RU,1580085749,94,49.42,130.08,-4.29,5.75
ossora,77,RU,1580085749,97,59.24,163.07,28.96,12.08
atar,45,MR,1580085749,25,20.52,-13.05,67.3,10.2
lasa,5,IT,1580085749,92,46.62,10.7,33.01,6.93
lagoa,98,PT,1580085749,84,39.05,-27.98,62.11,12.95
northam,43,GB,1580085750,91,51.03,-4.22,48.0,11.99
torbay,90,CA,1580085750,75,47.67,-52.73,28.0,3.0
dunedin,78,NZ,1580085562,68,-45.87,170.5,72.0,9.24
sur,27,OM,1580085750,49,22.57,59.53,63.12,13.8
maniitsoq,100,GL,1580085750,74,65.42,-52.9,12.42,4.7
pisco,75,PE,1580085750,88,-13.7,-76.22,72.0,23.04
betsiamites,90,CA,1580085750,92,48.94,-68.65,28.4,4.7
inirida,100,CO,1580085750,70,3.87,-67.92,80.2,1.61
itoman,75,JP,1580085750,77,26.12,127.67,69.8,26.4
hovd,13,MN,1580085751,65,48.01,91.64,8.76,2.59
taksimo,99,RU,1580085751,98,56.34,114.88,-5.89,1.1
portland,90,US,1580085696,62,45.52,-122.68,54.0,14.99
dudinka,99,RU,1580085751,77,69.41,86.18,-0.4,11.18
stornoway,21,GB,1580085751,75,58.21,-6.39,42.01,31.09
hurghada,10,EG,1580085751,62,27.26,33.81,62.19,13.73
nabire,75,ID,1580085751,70,-3.37,135.48,85.24,0.63
changping,100,CN,1580085485,63,40.22,116.22,33.01,6.71
bahadurganj,0,IN,1580085752,70,26.27,87.82,54.75,3.38
pouembout,43,NC,1580085752,51,-21.13,164.9,85.1,8.97
chuy,66,UY,1580085752,77,-33.7,-53.46,75.25,7.47
titlagarh,0,IN,1580085752,42,20.3,83.15,59.38,1.14
miramar,1,US,1580085753,37,25.99,-80.23,66.2,3.36
swift current,90,CA,1580085637,100,50.28,-107.8,26.6,2.24
havre-saint-pierre,75,CA,1580085753,92,50.23,-63.6,26.6,17.22
vredendal,0,ZA,1580085753,63,-31.67,18.5,58.66,10.16
kibre mengist,97,ET,1580085754,95,5.88,38.98,59.09,1.41
sechura,42,PE,1580085754,87,-5.56,-80.82,74.48,14.07
collingwood,100,CA,1580085755,90,44.48,-80.22,33.01,1.01
la libertad,77,EC,1580085755,78,-2.23,-80.9,78.8,9.17
cabo san lucas,40,MX,1580085465,68,22.89,-109.91,72.0,6.93
upington,0,ZA,1580085755,36,-28.45,21.26,62.6,6.93
jalu,85,LY,1580085755,37,29.03,21.55,55.06,14.97
bambous virieux,40,MU,1580085755,78,-20.34,57.76,77.0,10.29
vidim,92,RU,1580085756,96,56.41,103.11,8.69,4.97
longyearbyen,0,SJ,1580085756,77,78.22,15.64,1.4,3.36
maragogi,79,BR,1580085512,81,-9.01,-35.22,81.82,14.58
bugas,40,PH,1580085756,83,9.9,123.4,82.4,6.93
verkhoyansk,0,RU,1580085756,89,67.54,133.38,-46.43,1.07
yerbogachen,94,RU,1580085478,89,61.28,108.01,5.76,13.02
shakawe,80,BW,1580085756,49,-18.37,21.85,76.21,3.24
laguna,75,US,1580085756,55,38.42,-121.42,66.2,4.7
bethel,90,US,1580085757,64,41.37,-73.41,43.0,5.82
bichena,52,ET,1580085757,37,10.45,38.2,51.44,3.31
narrabri,38,AU,1580085757,45,-30.32,149.78,86.0,16.11
talcahuano,15,CL,1580085757,60,-36.72,-73.12,71.6,13.87
buala,100,SB,1580085757,61,-8.14,159.59,87.57,2.77
bay roberts,99,CA,1580085757,57,47.6,-53.26,28.0,6.29
piranhas,82,BR,1580085757,97,-16.43,-51.82,71.33,2.77
pavlodar,90,KZ,1580085757,92,52.3,76.95,23.0,26.84
petropavlovsk-kamchatskiy,75,RU,1580085758,68,53.05,158.65,26.6,6.71
dingle,10,PH,1580085758,84,11.0,122.67,77.97,4.03
tarko-sale,95,RU,1580085758,83,64.92,77.78,-8.0,9.48
boa vista,81,BR,1580085758,55,2.82,-60.67,87.8,4.7
rio grande,57,BR,1580085758,87,-32.03,-52.1,78.01,17.05
borshchiv,69,UA,1580085759,88,48.8,26.04,28.0,3.0
wanning,100,CN,1580085760,86,18.8,110.4,60.91,6.76
jucuaran,52,SV,1580085760,77,13.25,-88.25,80.92,17.85
pacific grove,1,US,1580085760,77,36.62,-121.92,63.0,15.35
chimbote,57,PE,1580085760,73,-9.09,-78.58,73.94,8.48
dumai,100,ID,1580085760,96,1.68,101.45,75.6,2.17
cervo,100,ES,1580085761,1,43.67,-7.41,54.0,10.0
durango,0,MX,1580085762,31,24.83,-104.83,60.55,0.78
kavieng,16,PG,1580085762,73,-2.57,150.8,83.73,6.08
richards bay,93,ZA,1580085764,84,-28.78,32.04,75.58,42.19
gornopravdinsk,100,RU,1580085764,94,60.05,69.9,16.61,7.11
ellsworth,90,US,1580085764,93,44.54,-68.42,39.2,4.7
luziania,75,BR,1580085764,94,-16.25,-47.95,69.8,3.36
yaan,16,NG,1580085764,12,7.38,8.57,75.27,5.91
la cumbre,40,AR,1580085765,73,-30.98,-64.49,77.0,2.24
chapais,99,CA,1580085765,97,49.78,-74.85,27.09,5.61
datong,100,CN,1580085765,79,40.09,113.29,18.41,2.68
paray-le-monial,64,FR,1580085765,86,46.45,4.12,39.99,4.7
sembakung,48,ID,1580085765,84,3.82,117.25,79.68,3.11
kabakovo,90,RU,1580085765,92,54.54,56.15,19.4,17.9
bonfim,67,BR,1580085765,46,3.08,-59.95,87.8,5.79
szczecinek,100,PL,1580085765,96,53.71,16.7,30.0,3.38
ambilobe,100,MG,1580085765,94,-13.2,49.05,74.61,4.61
fairbanks,90,US,1580085693,68,64.84,-147.72,-13.0,4.56
san juan,34,AR,1580085766,30,-31.54,-68.54,89.92,20.56
abbeville,100,FR,1580085766,93,50.1,1.83,48.2,12.75
dharchula,23,IN,1580085766,34,29.85,80.53,26.24,10.56
kaeo,1,NZ,1580085766,63,-35.1,173.78,90.0,5.17
bathsheba,75,BB,1580085766,78,13.22,-59.52,78.8,6.93
mersing,64,MY,1580085766,80,2.43,103.84,80.71,10.4
kisangani,63,CD,1580085739,37,0.52,25.2,75.94,1.9
erzin,40,TR,1580085767,81,36.96,36.2,44.01,5.82
glenwood springs,1,US,1580085767,48,39.55,-107.32,42.8,14.99
saint-louis,99,SN,1580085767,23,16.33,-15.0,82.4,2.24
miranda,40,CO,1580085767,65,3.25,-76.23,77.0,9.17
fayaoue,86,NC,1580085767,79,-20.65,166.53,79.29,13.18
chokurdakh,100,RU,1580085767,97,70.63,147.92,-23.62,4.56
adrar,72,MR,1580085767,22,20.5,-10.07,69.84,10.42
dawei,100,MM,1580085767,75,14.08,98.2,71.74,7.99
pasaje,75,EC,1580085767,70,-3.33,-79.82,89.6,6.93
sorland,100,NO,1580085768,97,67.67,12.69,27.88,28.45
aksarka,95,RU,1580085507,99,66.56,67.8,-13.49,4.99
vila franca do campo,20,PT,1580085490,88,37.72,-25.43,62.6,16.11
talaya,100,RU,1580085768,97,61.38,152.75,-27.96,1.81
shitanjing,6,CN,1580085768,93,39.23,106.34,21.69,1.88
sola,90,VU,1580085768,83,-13.88,167.55,84.2,14.45
tocopilla,7,CL,1580085503,64,-22.09,-70.2,64.24,4.47
narasannapeta,0,IN,1580085768,91,18.42,84.05,66.06,3.47
sao joao da barra,68,BR,1580085768,80,-21.64,-41.05,76.08,7.58
langham,18,CA,1580085769,80,52.37,-106.97,17.01,3.78
leningradskiy,100,RU,1580085769,93,69.38,178.42,-8.21,15.1
canico,20,PT,1580085769,72,32.63,-16.85,60.8,1.12
harper,19,LR,1580085769,91,4.38,-7.72,78.22,3.27
kalmunai,100,LK,1580085769,65,7.42,81.82,79.47,13.04
baykit,83,RU,1580085757,99,61.67,96.37,-2.7,2.95
nemuro,75,JP,1580085769,85,43.32,145.57,23.0,9.17
castelo do piaui,93,BR,1580085769,93,-5.32,-41.55,72.82,4.18
ballina,88,AU,1580085770,69,-28.87,153.57,84.2,16.11
turayf,0,SA,1580085770,100,31.67,38.66,33.8,4.7
ahipara,1,NZ,1580085770,63,-35.17,173.17,90.0,6.06
krasnoselkup,100,RU,1580085770,96,65.7,82.47,0.25,8.77
rawlins,90,US,1580085770,80,41.79,-107.24,35.6,6.93
bloomingdale,1,US,1580085770,51,27.89,-82.24,61.0,3.36
bilibino,64,RU,1580085770,93,68.05,166.44,-8.63,2.82
cururupu,100,BR,1580085770,97,-1.83,-44.87,75.85,2.13
naze,75,JP,1580085771,100,28.37,129.48,71.6,4.7
poputnaya,90,RU,1580085771,8,44.51,41.44,32.0,5.99
sanchazi,47,CN,1580085771,77,42.08,126.6,10.94,2.15
hualmay,67,PE,1580085771,75,-11.1,-77.61,72.36,7.23
adolfo lopez mateos,0,MX,1580085771,46,28.47,-107.3,55.04,13.0
cidreira,10,BR,1580085771,82,-30.18,-50.21,77.38,13.89
scarborough,100,GB,1580085771,93,54.28,-0.4,41.0,5.82
bulaevo,99,KZ,1580085772,94,54.91,70.44,27.43,16.91
khaga,0,IN,1580085772,69,25.78,81.12,52.32,3.6
flin flon,69,CA,1580085710,95,54.77,-101.86,9.05,2.15
quang ngai,91,VN,1580085772,82,15.12,108.8,71.51,9.35
burns lake,100,CA,1580085726,93,54.23,-125.75,28.38,3.06
marawi,92,PH,1580085772,78,8.0,124.29,82.0,4.0
panchgani,35,IN,1580085772,59,17.92,73.82,66.24,1.16
vestmannaeyjar,100,IS,1580085773,71,63.44,-20.27,38.44,26.4
novobohdanivka,0,UA,1580085773,86,47.08,35.33,31.59,2.39
san borja,6,BO,1580085773,87,-14.82,-66.85,79.66,2.04
srednekolymsk,100,RU,1580085773,95,67.45,153.68,-28.8,3.96
yangambi,50,CD,1580085773,38,0.81,24.43,72.3,1.41
paidha,99,UG,1580085773,33,2.42,30.99,69.89,5.19
mahanoro,99,MG,1580085773,73,-19.9,48.8,77.54,3.65
aviles,100,ES,1580085773,50,43.55,-5.92,57.2,4.7
maldonado,20,UY,1580085774,94,-34.67,-54.92,69.8,6.93
popondetta,100,PG,1580085774,65,-8.75,148.25,85.41,2.48
caravelas,93,BR,1580085774,85,-17.71,-39.25,79.9,13.24
brae,100,GB,1580085774,58,60.4,-1.35,41.0,12.75
san patricio,40,MX,1580085774,78,19.22,-104.7,82.4,8.05
qena,0,EG,1580085774,54,26.16,32.72,41.85,1.45
bandiagara,94,ML,1580085775,29,14.35,-3.61,75.2,4.7
chardara,48,KZ,1580085777,74,41.25,67.97,33.42,3.78
sibolga,100,ID,1580085779,96,1.74,98.78,72.61,2.42
broken hill,0,AU,1580085779,26,-31.95,141.43,84.2,12.75
gore,79,NZ,1580085779,63,-46.1,168.94,68.0,11.01
biak,45,ID,1580085779,80,-0.91,122.88,81.46,2.73
nador,0,MA,1580085659,67,35.17,-2.93,57.2,5.82
trairi,100,BR,1580085780,95,-3.28,-39.27,75.74,3.31
siirt,0,TR,1580085780,51,37.93,41.94,30.2,1.05
